name,email,district,county,longitude,latitude,location,address,wasteType,facilityType
POWEREX LUBRICANTS LIMITED,powerexlubricants@gmail.com,NAIROBI,Nairobi,36.817253,-1.281500,"ROAD C, Off ENTERPRISE ROAD","P O BOX 161 - 00606, NAIROBI",Used Oil/Sludge,Recycling
ENVIROSERVE RECYCLING AND SERVICES LIMITED,shaun@enviroserve.co.ke,NAIROBI,Nairobi,E 0360 54.175’,S 010 21.136’,PLOT LP. NO 209/13741 WITHIN COLCHESTER INVESTMENT GODOWN NUMBER 14,"P O Box 25561
Lavington",Electrical / Electronic Equipment,Transfer station
SINTOIL LIMITED,wilsonkaringa@gmail.com,RUIRU,Kiambu,36.932056,-1.150306,"GODOWN NO. A14, SIANA GODOWNS, RUIRU",P. O. BOX 17753-00100 NAIROBI,Used Oil,Recycling
APEX STEEL LTD,m.osoro@apex-steel.com,ATHI RIVER- MAVOKO SUB COUNTY,Machakos,36° 58' 45.5'' E,1° 27' 116.7'' S,SOFIA MAKADARA ROAD - ATHI RIVER,P.O. BOX 18441-00500 NAIROBI,Scrap Metal,Industrial Furnace
MR. GREEN TRADING (K) LIMITED ICD PRE PROCESSING HUB,info@safepro.co.ke,EMBAKASI SOUTH,Nairobi,36.873941E,-1.3358440S,ICD ROAD NEAR ICD BUSINESS COMPLEX,"P.O. BOX 76168-00508, YAYA TOWERS NAIROBI",Plastic Waste,Recycling
SHIZUKA TRADERS LIMITED,deporabwari@gmail.com,LIMURU,Kiambu,"36°12'56.4""E","0°17'09.5""S",LIMIRU,"P.O BOX 21865-00505
NAIROBI",Plastic Waste,Recycling
DULAX ENTERPRISES LIMITED,deporabwari@gmail.com,RUAKA,Kiambu,"36°12'56.4""E","0°07'09.5""S",OFF NOTHERN BYPASS RUAKA,"P.O BOX 55032-00100
NAIROBI",Plastic Waste,Recycling
PURA TERRA RECYCLING LIMITED,deporabwari@gmail.com,NAIROBI,Nairobi,"36°02'56.4""E","0°17'09.5""S",DANDORA AREA,"P.O BOX 329-00200
NAIROBI",Plastic Waste,Recycling
RAINFOREST FARMLANDS KENYA LIMITED,bmikal@fleurafrica.com,FLOWER FARM,Nakuru,36.23022892,-0.769135154,NAIVASHA,"P.O. BOX 2522-00606, SARIT CENTRE, NAIROBI",Organic Waste,Compost
AFRODRIP LIMITED,info@safepro.co.ke,EMBAKASI EAST,Nairobi,"36°53'50.5""E","1°20'50.4""S",off Mombasa Road and opposite JKIA,"P.O Box 59064-00100
Nairobi-KENYA",Plastic Waste,Recycling
GREAT TYRES LIMITED,info@stalinenvironment.com,"KITENGELA, KAJIADO",Kajiado,"36°55'42.4""E","1°32'59.4""S","ENKASITI, KITENGELA, KAJIADO",P O BOX 51888 - 00100 NAIROBI,Waste Tyres,Recycling
Mananasi Fibre Limited,james@chequeredflag.co.ke,Thika,Kiambu,37.200239,-1.043900,Thika,"P.O. BOX 14483,
NAIROBI,",Organic Waste,Compost
JACOB NDUNGU MUTHEKI,JACOBMUTHEKI64@GMAIL.COM,KIMILILI,Bungoma,34.718582,0.784441,KIMILILI,P.O BOX 609 KIMILILI,Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
SUBATI GROUP LIMITED NAIVASHA FARM,BILWANJIMO@GMAIL.COM,NAIVASHA,Nakuru,-0.705395,36.490780,NAIVASHA MARAIGUSHU BLOCK 7/1155,"P.0 BOX 25130-00100
NAIROBI",Organic Waste,Compost
CARZAN FLOWERS (K) LTD- ST FARM,marketing@diligencesafety.com,SALGAA,Nakuru,35.859075,-0.198600,"L.R. 10362/2, NAKURU COUNTY.","P.O BOX 1880-20100
NAKURU",Organic Waste,Compost
KARIKI LIMITED-MOLO,marketing@diligencesafety.com,MOLO,Nakuru,35.692883,-0.322136,LR 9866,"P.O BOX 955-20106
MOLO",Organic Waste,Compost
KARIKI LIMITED THIKA FARM,marketing@diligencesafety.com,THIKA,Kiambu,36.98893,-1.05005,LR. 10079/26,"P.O BOX 6038-01000
THIKA.",Organic Waste,Compost
SUREFLAME INCINERATORS LIMITED,SUREFLAMEINCINERATORS@GMAIL.COM,MACHAKOS COUNTY,Machakos,37˚05ʹ57.6ʺE,1˚27ʹ01.6ʺS,"MITABONI/NGELANI/5/98/99 LUKENYA, MAVOKO, SUB-COUNTY",P.O BOX 616 - 00204 ATHI-RIVER,Biomedical / Industrial Waste /Contaminated Soil,Incinerator
DEVKI STEEL MILLS ATHI RIVER,ehs@devkisteel.com,ATHI RIVER,Machakos,36°59'22.75,"1°26'43.05""",ATHI RIVER,33319-00600,Scrap Metal,Recycling
GOLDEN FRUIT INDUSTRY COMPANY LIMITED,shikoriretom@gmail.com,THIKA,Kiambu,37.118625,-1.073303,"iN THIKA, KISII ESTATE, MAKONGENI, ALONG KANGOKI ROADd",P.O BOX 15924 00100 NAIROBI,Polythene,Recycling
ZHENG HONG (K) LIMITED,shikoriretom@gmail.com,INDUSTRIAL AREA,Nairobi,36.866240,-1.326637,"GO DOWN 40 AND 41, CENTRAL BUSINESS PARK, OFF ROAD C",P.O. Box 2654 - 00101 NAIROBI,Glass Waste,Reuse
Kariki Limited Nanyuki Farm,marketing@diligencesafety.com,Nanyuki,Meru,37.12137,-0.1205,Timau Block1/Miarage/3,"P.O BOX 1076-10400,
Nanyuki",Organic Waste,Compost
Weeco Recycling Industry EPZ Limited,inlineshe@consultant.com,ATHI RIVER,Machakos,36.973027,-1.469486,"L.R NO. 18474/116 WITHIN EPZ ATHI RIVER, MAVOKO SUB-COUNTY",P.O BOX 43123-00100 NAIROBI,Plastic Waste,Recycling
FLAMINGO HORTICULTURE (K) LIMITED - FLAMINGO FARM,Priscillah.Musyimi@flamingo.net,NAIVASHA,Nakuru,"01 11""S","36 02"" E","L.R NO. 10854/11 NAIVASHA, ALONG MOI - SOUTH LAKE ROAD","P.O. BOX 188 - 20117, NAIVASHA KENYA",Organic Waste,Compost
FLAMINGO HORTICULTURE (K) LIMITED - KINGFISHER FARM,Priscillah.Musyimi@flamingo.net,NAIVASHA,Nakuru,"36 03"" E","01 11""S",L.R NO. 7471/14 NAIVASHA ALONG MOI SOUTH LAKE ROAD,P.O. BOX 188 - 20117 NAIVASHA,Organic Waste,Compost
RONGTAI STEEL COMPANY LIMITED,wereomat@yahoo.com,Plot LR.NO.12648/193 In Mavoko Municipality Machakos County,Machakos,"37°04'07""E)","1°30'12""S,","Plot L.R NO.12648/193 In Mavoko Municipality, Machakos County",P.O BOX 112-00800 NAIROBI,Scrap Metal,Recycling
MOB ENTERPRISES,deporabwari@gmail.com,NAKURU MUNICIPALITY,Nakuru,"36°02'56.4""E","0°17'09.5""S",NAKURU INDUSTRIAL ZONE,"P.O BOX 13353-20100
NAIROBI",Non-Hazardous Industrial Waste,Transfer Station/Storage Yard
COUNTY MEDICAL INVESTMENT COMPANY LTD,countymedical@yahoo.com,EMBU WEST,Embu,Longitude: 37° 27',"Latitude: 0° 31' 58.80"" N",KANGARU,558-60100 EMBU,Biomedical Waste,Incinerator
PREMIER INDUSTRIES LIMITED,info@premierindltd.com,KASARANI,Nairobi,36.87625,-1.24348,"BABA DOGO ROAD, RUARAKA","P. O. BOX 22460 - 00400, NAIROBI
BABA DOGO ROAD, RUARAKA",Plastic Waste,Recycling
DOMINEER SOLUTIONS LIMITED,domineer100@gmail.com,MOMBASA,Mombasa,100,100,MOMBASA,2833-80100 MOMBASA,Used Oil,Dumpsite for General Waste
TULLOW KENYA B. V,FRANKLIN.JUMA@TULLOWOIL.COM,TURKANA SOUTH,Turkana,"35°43'05.4""E","2°24'09.6""N",TWIGA 1 WELLPAD BLOCK 13T,P. O. BOX 63298-00619 NAIROBI,Hazardous Waste,Transfer Station/Storage Yard
SUNNY PLASTICS LIMITED,berlconsult2013@gmail.com,NJIRU,Nairobi,36.940110,"-1.246380,",L.R. NO. 10390/5 NJIRU SUB PLOT NO. A (27165/239),"P.O BOX 91-00512
NAIROBI",Plastic Waste,Transfer Station/Storage Yard
MR GREEN TRADING AFRICA LIMITED,contact@mrgreentrading.com,NAIROBI,Nairobi,36.8656,1.3308,"OLD YANA TYRES COMPLEX, MOMBASA ROAD, NAIROBI COUNTY","OLD YANA TYRES COMPLEX, MOMBASA ROAD & ENTERPRISE ROAD JUNCTION",Scrap Metal/Plastic Waste,Recycling
SUNNY PLASTICS LIMITED,berlconsult2013@gmail.com,NJIRU,Nairobi,36.940110,"-1.246380,","PLOT L.R. NO: 27165/239, IN NJIRU","P.O. BOX 1124-00100
NAIROBI",Plastic Waste,Transfer Station/Storage Yard
Brush Manufacturers Limited,kmitukim@gmail.com,Kandara,Murang'a,"37° 3'0.80""E","0°58'49.53""S,","Kaihini Area, Along Thika-Kangare Road, Kandara","P.O. Box 48865- 00100,
Nairobi",Plastic Pet Bottles,Recycling
POLYAFRIC INDUSTRIES LTD,polyafricindustries@gmail.com,EMBAKASI NORTH,Nairobi,"36°54’10""E","- 1°15’25""S","on plot L.R No. On plot L.R, No. 10060/3 Dandora, Mowlem area, Nairobi City County.","P.o. Box 8112 -00200,
Nairobi, Kenya.",Polythene and Paper Waste,Recycling
KORRECT SCRAP LIMITED,dses2011@gmail.com,NAIROBI,Nairobi,"36°50'17""E.","-1°18’1""S,","ON PLOT L.R NO.209/5443; ALONG ADDIS ABABA ROAD, OFF ENTERPRISE ROAD, INDUSTRIAL AREA, NAIROBI CITY COUNTY","P.O BOX 64390 – 00100,
NAIROBI.",Scrap Metal,Transfer Station/Storage Yard
BETA METALS KE LTD,management@betametals.com,"INDUSTRIAL AREA, ENTERPRISE ROAD",Nairobi,36.8654686,-1.3177765,"INDUSTRIAL AREA, ENTERPRISE ROAD, OPPOSITE HILLOCKS","P.O. BOX 18154-00500 NAIROBI, KENYA.",E-Waste/Exhaust Catalytic Converter,Transfer Station/Storage Yard
Hydro Water Well (Kenya) Limited,chirchirkevin601@gmail.com,"Juja Sub County, Kiambu County",Kiambu,37.001162,-1.088718,"Silvercoin Business Park, Juja-Gatundu road","P.o Box 38720-00600, Nairobi",Aluminium Scrap,Recycling
DECEMBER WASTE SERVICES,omorehawkins@gmail.com,NAIROBI,Nairobi,36.9271° E,1.2505° S,"LR NO. 42/11, OFF KAGUNDO ROAD, NJIRU, NAIROBI COUNTY","P.O BOX 17952-00500,
NAIROBI",Polythene,Recycling
SANERGY LIMITED K2,amos.wanyonyi@regenorganics.co,ATHI RIVER/KINANIE,Machakos,37.0535940,-1.3506810,"LR NO 23961/KINANIE MAVOKO, MACHAKOS",P.O. BOX 24523-00100 NAIROBI,Organic Waste,Compost
Royal Engineering and Construction Co. Ltd,muyamoses@gmail.com,Nairobi,Nairobi,36.846277,-1.2915455,Nairobi,P.O Box 78423-00207,Scrap Metal/Plastic Waste,Transfer station
KABU PLAST LTD,eshubconsult@gmail.com,"Plot L.R. No. A27/65/239, Njiru-Kasarani Road, Njiru, Nairobi County",Nairobi,36.7701975,-1.2991282,"LR NO.A27/65/239, ALONG KASARANI-NJIRU ROAD, NAIROBI COUNTY",P.O.BOX 61175-00200 NAIROBI,Plastic Waste,Recycling
MELDOV WASTE MANAGEMENT LIMITED,deporabwari@gmail.com,NAIROBI,Nairobi,36.6311,-1.1086,KAYOLE,"P.O BOX 9421-00200
EMBAKSAI",Scrap metal/Paper/Polythene,Transfer Station/Storage Yard
MARINE WASTE COLLECTION DEALERS LIMITED,OLUKOHE2000@YAHOO.COM,CHANGAMWE SUB -COUNTY,Mombasa,39.619549,-4.035937,"LR NO.MN/VI/2457, PORTREITZ AREA,MOMBASA COUNTY",P.O BOX 1088 - 80100 MOMBOSA,Used Oil/Sludge,Transfer Station/Storage Yard
VIENTIANE ENTERPRISES,ngurealice2@gmail.com,MALINDI,Kilifi,0,0,MALINDI,P.O BOX 97370-80112 MOMBASA,Scrap Metal & Used Batteries,Transfer Station/Storage Yard
INDO KENYA PETROCHEMICALS LIMITED,indokenyapetro@gmail.com,KOKOTONI,Kilifi,39031'39.38'',3064'42.04'',KILIFI,41095-80100 MOMBASA,Scrap Tyres/Industrial Waste/Phamaceutical Waste/Condemned Goods/Used Oil,Recycling
KAMONGO WASTE PAPER KENYA LTD,courier@kamongo.co.ke,MOMBASA,Nairobi,39.745274,3.943549,MOMBASA,6713 00200 NAIROBI,Paper,Recycling
SUNPRIDE ENTERPRISES LIMITED,info@stalinenvironment.com,"Mavoko, Athi River",Machakos,"36°58'11.2""E","1°25'35.8""S",Trailink Business Park 209/12867/5,"P.O. BOX 13916-00200, NAIROBI",Polythene and Paper Waste,Recycling
Gjenge Makers Limited,production@gjenge.co.ke,Industrial area,Nairobi,36.838258,1.303452,"Plot L.R. No.209/4481_along Enterprise road, Avon Centre,Industrial area, Nairobi County","P.O.BOX 4064-00200,Nairobi",Plastic Waste,Recycling
WANG-TECH PETROLEUM LIMITED,wangtechpetroleum@yahoo.com,CHANGAMWE SUB -COUNTY,Mombasa,39.592167,-4.015276,"PLOT NO.343/73/1/MN MIRITINI,VIKOBANI",P.O BOX 42571 - 80100 MOMBASA,Used Oil/Sludge,Transfer Station/Storage Yard
OLNJOROWALTD,mbegu@olnjorowa.com,NAIVASHA,Nakuru,36.4,-.7167,HELLSGATE,879 Naivasha,Organic Waste,Compost
TIRGAGA TEA FACTORY,info@tirgaga.ktdateas.com,BOMET,Bomet,35.35978,-070428,NDARAWETA,P.O.BOX 56-20400 BOMET,Sanitary Waste & Non-Hazardous Waste,Recycling
WALKER INDUSTRIES LIMITED,shikoriretom@gmail.com,ATHI RIVER,Machakos,"37°00'26.9""E","1°27'08.0""S",RIDHI BUSINESS PARK ATHI RIVER,P.O. BOX 21931 00505 NAIROBI,Plastic Waste,Recycling
KECHI GREEN INTERNATIONAL LTD,kechigreeninternationalltd@gmail.com,NAIROBI,Nairobi,9.8'.00 N 5'00,0.1'00 E. 09',Plot No: L.R 209/12427,"P. O. Box 73461 - 00200
Nairobi",Waste Tyres,Transfer Station/Storage Yard
KILINDINI WASTE HUB LTD,kapmosi@gmail.com,MOMBASA,Kilifi,39.6682,4.0435,KALUMANI MNYENZENI AREA,P.O.BOX 99308-80100 MOMBASA,Used Oil/Sludge,Land fill
Choka Supplies Ltd,chokasupplies@gmail.com,Viwandani,Nairobi,-1.311724050S,36.8629289E,"Plot 209/9338/9 & 10 Gakoe Rd, off Lunga Lunga Rd, Nairobi",P.O.Box 38711-00600,Calcium Carbide,Recycling
METRO POLYKENYA LIMITED,tehillalimited@gmail;metropolykenya@gmail.com,ELDORET WEST,Uasin Gishu,"35°16'22.17""E","0°31'50.40""N","LR/NO:ELDORET MUNICIPALITY BLOCK 10/99 & 100 AT KENYA INDUSTRIAL ESTATES FURFURAL ROAD,","P O BOX 1005-30100
ELDORET",Used Oil,Recycling
DOWN TO GLOW INTERNATIONAL LIMITED,fremosa2007@gmail.com,STAREHE DISTRICT,Nairobi,36.07121,-0.297022,ON PLOT LR NO.209/13923 OFF LIKONI ROAD,22444-00400 NAIROBI,Plastic Waste,Recycling
SAMCO RECYCLING LTD,dses2011@gmail.com,MAVOKO,Machakos,36.93712,-1.38460,"Plot L.R No. 12715/9427;Godown 1; Syokimau area, along Beijing road, Mavoko Sub County; Machakos County",P.O BOX 28781 - 00100 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
ALI EMPEX DEALERS LIMITED,dses2011@gmail.com,Embakasi,Nairobi,"36°50'48""E","-1°18'18""S","EXISTING GODOWN ON Plot L.R NO. 209/7521; ALONG HOMA BAY ROAD, OFF ENTERPRISE ROAD;INDUSTRIAL AREA; NAIROBI CITY COUNTY","P.O BOX 98361 - 80100, MOMBASA",Used Oil/Sludge,Transfer Station/Storage Yard
WASTE ELECTRICAL AND ELECTRONIC EQUIPMENT CENTRE,info@weeecentre.com,NAIROBI,Nairobi,-1.278611,36.962651234,EMBAKASI,P.O. BOX 48584-00100 NAIROBI,E-Waste/Exhaust Catalytic Converter,Recycling
HOPE PLASTICS LIMITED,danamollo@gmail.com,THIKA,Kiambu,37.0834° E,"1.0388° S,",KIBOKO ESTATE,P.O. BOX: 38334-00633 NAIROBI,Plastic Waste,Recycling
KENYA ELECTRICITY GENERATING COMPANY PLC,akitondo@kengen.co.ke,WEST POKOT,West Pokot,"35°21'53.41""E","1°55'17.60""N","Within Turkwel Power Station in Kositai Location, Kasitei Sublocation in West Pokot Subcounty","P.O BOX 47936-00100
NAIROBI.",Biomedical/Industrial Waste,Incinerator
BAMBURI CEMENT.,ernest.namayi@lafarge.com,MAVOKO,Machakos,36.95914,-1.43349,"L.R NO. 18696/56 ATHI RIVER ,MACHAKOS COUNTY","P.O.BOX 524-00204
ATHI RIVER.",Agricultural Waste/Industrial Waste/Used Oil/Scrap Tyres/Condemned Goods,Incinerator
ANGEM INVESTMENTS LIMITED,berlconsult2013@gmail.com,MAKADARA,Nairobi,"36°51'16.5""E","1°17'55.1""S","Plot LR. No: 209/6829, along Likoni Road","P.O. BOX 17149-00500
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
KIVUYO INVESTMENT,deporabwari@gmail.com,NAIROBI,Nairobi,"36°56'27.8""E",-1.257418,"L.R NO. KIBAGARI/088425, ALONG THIKA ROAD, PANGANI AREA","P.O BOX 72772-00100
NAIROBI",Scrap metal/Paper/Polythene,Transfer Station/Storage Yard
CENTURY STEEL FURNITURE LTD,centurysteelf@gmail.com,MOMBASA,Mombasa,39.6014E,3.9958S,MOMBASA,"P.O.BOX 82021-80100
MOMBASA",Used Oil,Incinerator
Jaykrish Traders,chirchirkevin601@gmail.com,Off Road C,Nairobi,36.860079,-1.330097,"PLOT L.R NO. 209/18210, OFF MOMBASA ROAAD, INDUSTRIAL AREA","P.O Box 38506-00623, Nairobi",Polythene,Recycling
AQUILA SCRAPE METAL,amollorodgers@gmail.com,KISAUNI,Mombasa,"39°41'56.9""E","3°59'15.9""S","PLOT NO. MN//II/7743, KISAUNI, MOMBASA COUNTY",P.O. BOX 644- 80300 MOMBASA,Scrap Metal,Transfer station
JOFLEX INVESTMENT LIMITED,mercyk39@gmail.com,"KAMUKUNJI CONSTITUENCY,NAIROBI COUNTY",Nairobi,36.8482803,-1.2919900,"PLOT L.R NO. 209/5533 IN AMBIRA ROAD, SHAURI MOYO AREA",P.O BOX 17952-00500 NAIROBI,Recyclable Waste,Recycling
BIGOT FLOWERS KENYA PLC,belexaconsultants@gmail.com,NAIVASHA,Nakuru,36.05618,-0.27017,NAIVASHA,"P.O BOX 2039-20117
NAIVASHA-KENYA",Organic Waste,Compost
ROMBO METALS LIMITED,berlconsult2013@gmail.com,MAKADARA,Nairobi,"36°53'10.4""E.","1°12'55.6""S","ALONG LIKONI ROAD, INDUSTRIAL AREA, NAIROBI COUNTY","P.O. BOX 26723-00504
NAIROBI",Scrap Metal/Plastic Waste,Transfer station
BOHEMIAN FLOWERS LTD,jkigamba@bohemian-flowers.com,Naivasha,Nakuru,"36°16'06.90""E","0°51'27.66""S",Naivasha,P.O BOX 1555 - 20117 Naivasha,Organic Waste,Compost
KEXING PLASTIC RECYCLING COMPANY LIMITED,lozizippy2@gmail.com,EMBAKASI SUB COUNTY,Nairobi,36.8997509,-1.3470593,"PLOT L.R NO. 15208, MOMBASA ROAD, VIRAJ COMPLEX, EMBAKASI SUB-COUNTY",P.O. BOX 37379-00100 NAIROBI.,Polythene,Recycling
RED LANDS ROSES PLC,certification@redlandsroses.co.ke,RUIRU,Kiambu,36.9017,-1.1573,"RUIRU- TATU CITY AREA ,ALONG RUIRU OFF KIAMBU ROAD",10-00232 RUIRU,Organic Waste,Compost
GRATTIVUE TECHNOLOGY LIMITED,kahuki91@gmail.com,Embakasi South,Nairobi,36° 49' 2.0028'' E,1° 17' 11.0004'' S,"L.R NO. 14977, IMARA DAIMA, EMBAKASI SOUTH","PO BOX 4417-00100
NAIROBI",Electrical / Electronic Equipment,Recycling
SUBIRA SHIPPING CONTRACTORS COMPANY LIMITED,subirashipcontractors@yahoo.com,KILIFI,Kilifi,"39"" 32'24.23""E","3"" 57' 1.32""S",RABAI,"P.O. BOX 82709 CODE 80100.
MOMBASA-KENYA",Used Oil/Sludge,Transfer station
PANOCAL INTERNATIONAL LIMITED,compliance@panocal.co.ke,KITALE,Trans Nzoia,34.9690 E,1.0375 N,KINYORO,"P.O.BOX 982
-30200 KITALE",Organic Waste,Compost
MULTECH WASTE SERVICES LTD,mealworldo@gmail.com,NAIROBI,Nairobi,36.861060,-1.308097,"LR 209/21 BEHIND MALEBA LUNGALUNGA ROAD, INDUSTRIAL AREA NAIROBI COUNTY",P.O.BOX 78878-00507 NAIROBI,Polythene and Paper Waste,Transfer station
